"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"226","35240696","DA","Oakville",0.2295,759,212,207,"3524001","3524","5350612.21","35535",759,190,0,685,250
"227","35240697","DA","Oakville",0.21335,896,305,301,"3524001","3524","5350612.21","35535",896,65,0,905,280
"228","35240698","DA","Oakville",0.23189,1147,358,357,"3524001","3524","5350612.20","35535",1147,220,0,1145,395
"229","35240699","DA","Oakville",0.19222,1015,296,295,"3524001","3524","5350612.18","35535",1015,225,0,1000,310
"230","35240700","DA","Oakville",0.09839,587,182,180,"3524001","3524","5350612.19","35535",587,180,0,550,185
"231","35240701","DA","Oakville",0.09535,583,161,161,"3524001","3524","5350612.19","35535",583,160,0,560,185
"232","35240705","DA","Oakville",0.19237,697,226,226,"3524001","3524","5350612.19","35535",697,110,0,685,165
"233","35240706","DA","Oakville",0.1277,650,205,204,"3524001","3524","5350612.19","35535",650,130,0,635,365
"234","35240707","DA","Oakville",0.17684,754,216,216,"3524001","3524","5350612.20","35535",754,155,0,835,330
"235","35240708","DA","Oakville",0.20335,772,210,210,"3524001","3524","5350612.20","35535",772,210,0,790,240
"236","35240709","DA","Oakville",0.1883,693,222,221,"3524001","3524","5350612.20","35535",693,220,0,690,200
"237","35240710","DA","Oakville",0.1798,617,189,188,"3524001","3524","5350612.20","35535",617,100,0,605,300
"238","35240711","DA","Oakville",0.14146,679,206,205,"3524001","3524","5350612.23","35535",679,205,0,660,160
"239","35240712","DA","Oakville",0.09707,515,162,162,"3524001","3524","5350612.23","35535",515,115,0,505,220
"240","35240713","DA","Oakville",0.49461,880,266,265,"3524001","3524","5350612.18","35535",880,220,0,810,185
"241","35240714","DA","Oakville",0.10278,565,176,174,"3524001","3524","5350612.18","35535",565,175,0,575,200
"242","35240715","DA","Oakville",0.16601,933,312,312,"3524001","3524","5350612.18","35535",933,30,0,960,480
"243","35240716","DA","Oakville",0.23021,652,186,186,"3524001","3524","5350612.18","35535",652,190,0,655,275
"244","35240720","DA","Oakville",40.29309,6430,2103,1929,"3524001","3524","5350615.00","35535",6430,1245,0,6470,4045
